평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수,사서수,대출자수,대출권수,도서예산
2021,LIBTYPE000003,211005,경기대학교 금화도서관,서울,서대문구,363746,3,453,2282,0 
2021,LIBTYPE000003,241002,경기대학교 중앙도서관,경기,수원시,957795,8,1853,54393,885956915 
2021,LIBTYPE000003,248015,경남과학기술대학교 도서관,경남,진주시,362184,6,1015,15020,391161118 
2021,LIBTYPE000003,248002,경남대학교 중앙도서관,경남,창원시,1015749,10,2575,46444,918002202 
2021,LIBTYPE000003,248024,경남도립거창대학 도서관,경남,거창군,44353,1,122,1368,28083940 
2021,LIBTYPE000003,248025,경남도립남해대학 도서관,경남,남해군,37380,1,71,393,26000590 
2021,LIBTYPE000003,221001,경남정보대학교 도서관,부산,사상구,237559,1,733,5582,145000000 
2021,LIBTYPE000003,242019,경동대학교 도서관,강원,고성군,360401,7,1945,54818,439737302 
2021,LIBTYPE000003,241003,경민대학교 도서관,경기,의정부시,166169,2,523,15469,154419968 
2021,LIBTYPE000003,241004,경복대학교 도서관,경기,남양주시,143540,3,1944,31252,138954220 
2021,LIBTYPE000003,247027,경북과학대학교 도서관,경북,칠곡군,91552,1,8,104,8273000 
2021,LIBTYPE000003,222001,경북대학교 도서관,대구,북구,3404347,35,10636,172578,4958487940 
2021,LIBTYPE000003,247037,경북도립대학교 도서관,경북,예천군,60418,1,116,855,55833870 
2021,LIBTYPE000003,247007,경북보건대학교 도서관,경북,김천시,47506,1,190,6639,42979023 
2021,LIBTYPE000003,247003,경북전문대학교 현암도서관,경북,영주시,137539,2,352,2089,46914015 
2021,LIBTYPE000003,248003,경상국립대학교 도서관,경남,진주시,1310540,24,8686,71891,2928203194 
2021,LIBTYPE000003,221002,경성대학교 중앙도서관,부산,남구,1017484,7,2962,67814,884255359 
2021,LIBTYPE000003,L0031,경안대학원대학교 도서관,경북,안동시,8438,1,9,32,409200 
2021,LIBTYPE000003,247036,경운대학교 벽강중앙도서관,경북,구미시,432119,1,740,6493,350310247 
2021,LIBTYPE000003,223005,경인교육대학교 도서관,인천,계양구,603972,7,2481,41735,394593804 
2021,LIBTYPE000003,223002,경인여자대학교 도서관,인천,계양구,273914,0,562,11579,117523795 
2021,LIBTYPE000003,222002,경일대학교 도서관,경북,경산시,550738,2,1073,7249,392617716 
2021,LIBTYPE000003,247022,경주대학교 학술정보원,경북,경주시,411350,0,112,1583,21981067 
2021,LIBTYPE000003,241007,경찰대학 도서관,충남,아산시,207866,4,802,12332,208772381 
2021,LIBTYPE000003,241008,경희대학교 국제캠퍼스 중앙도서관,경기,용인시,1059429,7,4064,67779,1757640409 
2021,LIBTYPE000003,211006,경희대학교 도서관,서울,동대문구,1547425,11,6361,131115,3658232116 
2021,LIBTYPE000003,222003,계명대학교 동산도서관,대구,달서구,2053570,17,11225,127480,1736275477 
2021,LIBTYPE000003,222004,계명대학교 의학도서관,대구,달서구,105973,2,659,2695,814617535 
2021,LIBTYPE000003,222005,계명문화대학교 도서관,대구,달서구,224029,2,2078,34958,108793571 
2021,LIBTYPE000003,241081,계약신학대학원대학교 도서관,경기,광주시,24796,1,26,333,2973040 
2021,LIBTYPE000003,241053,계원예술대학교 도서관,경기,의왕시,129115,2,610,13553,89234934 
2021,LIBTYPE000003,246018,고구려대학교 도서관,전남,나주시,31219,1,104,3778,6425000 
